festhalten,0
sehr,0
innerhalb,0
Längsschnitt,1
Draufsicht,1
bestehend,0
Schweißzusätzen,1
einseitig,0
kreisförmig,1
ausdrücken,1
Funktion,1
übereinstimmen,1
üblich,0
betragen,0
wählen,0
tatsächliche,1
verwendend,1
eignen,0
Grenzabweichungen,1
Oberflächenaufhärtungen,1
übermäßig,0
Erhitzung,1
flussende,1
trachten,0
Dehnung,1
Rp,0
gewünscht,1
Fp,0
obere,1
untere,1
Merkmal,1
WPS,1
Dorn,1
konisch,1
Ringaufdornversuch,1
Formelzeichen,1
Ring,1
Erzeugnisnorm,1
Aufweitung,1
Stahlrohre,1
Tube,1
MatØriaux,1
mØtalliques,1
Tubes,1
dilatation,1
ECISS,1
Steigung,1
Wanddicke,1
aufgeweiteten,1
Januar,0
aufgeweitet,1
Maximaler,1
Dm,0
Kante,1
brechen,0
Normenausschuss,1
Vervielfältigung,1
auszugsweise,1
Genehmigung,0
statten,0
Deutsche,0
intensiv,0
Mitwirkung,0
ausarbeiten,0
entscheiden,0
Rahmen,0
veröffentlichen,0
Mitarbeit,1
Arbeitsausschuss,1
Rohrprüfung,1
Sonderwerkstoffen,1
Cr,0
empfehlen,0
Konusmaß,1
redaktionell,1
anneaux,1
rue,0
Stassart,1
Fittings,1
UNI,1
Fehler,1
Rohrwand,1
erkennen,0
indem,0
Bestimmung,1
Umformbarkeit,1
anwendbar,1
Wanddicken,1
Ursprünglicher,1
Minimaler,1
aa,0
Erzeugnisnormen,1
abgeschnitten,1
Pressen,1
veränderbar,1
Geschwindigkeit,0
Universalprüfmaschinen,1
Konischer,1
Kegelverjüngung,1
entlang,0
Arbeitslänge,1
vorzugsweise,1
nichts,0
ausreichend,0
Härte,1
polieren,1
Kratzer,1
Stirnflächen,1
zueinander,1
Rohrachse,1
Stirnfläche,1
Feile,1
Methode,1
Nicht,1
gerundet,1
gebrochen,1
zulässig,1
unterziehen,1
inner,1
hoch,0
schmieren,1
Werkstoffzusammensetzung,1
aufeinander,0
anordnen,0
konzentrisch,1
drücken,1
gefordert,1
Prüfgeschwindigkeit,1
überschreiten,0
Ringaufdornversuchs,1
Fehlen,1
sichtbar,0
Vergrößerungshilfen,1
beobachten,0
Nachweis,1
vorliegen,0
maßen,0
Kegelmaße,1
Winkel,1
Aufweitversuch,1
Außendurchmessers,1
maximale,0
Prozent,0
Øvasement,1
prEN,1
Aufweitfähigkeit,1
Leichtmetalle,1
zutreffen,0
Grad,0
Rohrende,1
ausreichen,0
